ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Dementia,Dysphagia,5.9331490647297,3.3827480307231097e-28,4.50113543475467,7.82075063827125,76,Positive,Significant,Significant after FDR correction,0,True,48,Dementia precedes Dysphagia,63.1578947368421,2.1751574127075,1031.5,2.82409308692676,2.82 [0.81-5.96],358,407,3494
Neuropathic Pain,Reflux Disorders,5.74713291972175,6.0190502437418996e-27,4.32637730509651,7.6344559125808,77,Positive,Significant,Significant after FDR correction,0,True,43,Neuropathic Pain precedes Reflux Disorders,55.8441558441558,2.20377790497997,1270.0,3.47707049965777,3.48 [1.86-6.85],239,668,3494
Chronic Airway Diseases,Chronic Arthritis,5.71945726315015,6.709574059339131e-44,4.58501614982442,7.13458585882053,133,Positive,Significant,Significant after FDR correction,0,True,75,Chronic Airway Diseases precedes Chronic Arthritis,56.390977443609,3.80652547223812,1576.0,4.31485284052019,4.31 [1.43-7.12],460,632,3494
Cardiac Arrhythmias,Chronic Airway Diseases,5.71864771748493,2.48831035703113e-26,4.31680411103522,7.5757275233073,73,Positive,Significant,Significant after FDR correction,0,True,42,Chronic Airway Diseases precedes Cardiac Arrhythmias,57.5342465753425,2.0892959358901,623.0,1.7056810403833,1.71 [0.44-5.78],313,460,3494
Anaemia,Chronic Kidney Disease,5.70360469127285,3.27227283319204e-49,4.62797795356704,7.02922675965561,152,Positive,Significant,Significant after FDR correction,0,True,72,Chronic Kidney Disease precedes Anaemia,47.3684210526316,4.350314825415,911.5,2.49555099247091,2.50 [0.62-5.81],598,568,3494
Heart Failure,Hypertension,5.4488880640871,1.94309678468116e-24,4.04634199552621,7.33758569289933,76,Positive,Significant,Significant after FDR correction,0,True,45,Hypertension precedes Heart Failure,59.2105263157895,2.1751574127075,1135.5,3.1088295687885,3.11 [0.56-7.55],193,905,3494
Chronic Airway Diseases,Reflux Disorders,5.44208399480445,1.7099132313447e-42,4.37103114154488,6.77558160705285,135,Positive,Significant,Significant after FDR correction,0,True,72,Chronic Airway Diseases precedes Reflux Disorders,53.3333333333333,3.86376645678306,1412.0,3.86584531143053,3.87 [1.39-7.73],460,668,3494
Dementia,Hearing Loss,5.43669052488071,1.99375875320815e-24,4.09349065956656,7.22063547262555,70,Positive,Significant,Significant after FDR correction,0,True,58,Hearing Loss precedes Dementia,82.8571428571429,2.0034344590727,1396.5,3.82340862422998,3.82 [1.15-8.70],358,396,3494
Dysphagia,Epilepsy,5.34155284324574,8.77784270945892e-30,4.1362863181792,6.89802024869173,90,Positive,Significant,Significant after FDR correction,0,True,57,Epilepsy precedes Dysphagia,63.3333333333333,2.57584430452204,1243.0,3.4031485284052,3.40 [0.67-6.48],407,472,3494
Chronic Arthritis,Reflux Disorders,5.3214366558515,4.77150941062029e-52,4.37101577762428,6.47851426828552,175,Positive,Significant,Significant after FDR correction,0,True,88,Chronic Arthritis precedes Reflux Disorders,50.2857142857143,5.00858614768174,1391.0,3.80835044490075,3.81 [1.28-6.69],632,668,3494
Dementia,Thyroid Disorders,5.30110701107011,1.22498382824916e-28,4.08667613969493,6.87642832028144,87,Positive,Significant,Significant after FDR correction,0,True,56,Thyroid Disorders precedes Dementia,64.367816091954,2.48998282770464,1231.0,3.37029431895962,3.37 [1.23-6.95],358,522,3494
Insomnia,Reflux Disorders,5.11045045045045,2.20521886018055e-34,4.04053558791182,6.46367374776831,113,Positive,Significant,Significant after FDR correction,0,True,58,Reflux Disorders precedes Insomnia,51.3274336283186,3.23411562678878,1005.0,2.75154004106776,2.75 [0.92-5.37],393,668,3494
Hypertension,Neuropathic Pain,5.03242647058824,2.0685450923385e-26,3.83361691127607,6.60611552171167,89,Positive,Significant,Significant after FDR correction,0,True,48,Hypertension precedes Neuropathic Pain,53.9325842696629,2.54722381224957,1335.0,3.65503080082136,3.66 [1.38-7.38],905,239,3494
Chronic Kidney Disease,Hypertension,4.88585783373572,1.07008368241149e-51,4.04094598966852,5.90743029788301,194,Positive,Significant,Significant after FDR correction,0,True,118,Hypertension precedes Chronic Kidney Disease,60.8247422680412,5.55237550085861,1188.0,3.25256673511294,3.25 [0.97-7.20],568,905,3494
Chronic Kidney Disease,Dysphagia,4.86597624124277,1.47523987697922e-29,3.80876411545789,6.21664247576868,99,Positive,Significant,Significant after FDR correction,0,True,52,Chronic Kidney Disease precedes Dysphagia,52.5252525252525,2.83342873497424,916.0,2.507871321013,2.51 [0.76-4.94],568,407,3494
Epilepsy,Thyroid Disorders,4.86238801874032,3.82310982089787e-31,3.8312385998338,6.17106364657504,105,Positive,Significant,Significant after FDR correction,0,True,52,Thyroid Disorders precedes Epilepsy,49.5238095238095,3.00515168860904,1363.0,3.73169062286105,3.73 [1.13-6.73],472,522,3494
Insomnia,Mental Illness,4.84244972682285,1.2701400409082898e-34,3.85360466757847,6.08503502035195,122,Positive,Significant,Significant after FDR correction,0,True,73,Mental Illness precedes Insomnia,59.8360655737705,3.49170005724098,1068.0,2.92402464065708,2.92 [0.91-7.24],393,767,3494
Anaemia,Cardiac Arrhythmias,4.82580204095244,1.5293993169787401e-24,3.69041744250697,6.3104962246874,81,Positive,Significant,Significant after FDR correction,0,True,46,Anaemia precedes Cardiac Arrhythmias,56.7901234567901,2.31825987406983,860.0,2.35455167693361,2.35 [0.21-6.49],598,313,3494
Chronic Airway Diseases,Hypertension,4.74082644041951,6.09128263825698e-42,3.85537158481612,5.82964179813364,158,Positive,Significant,Significant after FDR correction,0,True,74,Chronic Airway Diseases precedes Hypertension,46.8354430379747,4.5220377790498,1220.0,3.34017796030116,3.34 [0.98-7.49],460,905,3494
Mental Illness,Reflux Disorders,4.72318597004019,4.288113358209189e-50,3.91385512128165,5.69987519115916,192,Positive,Significant,Significant after FDR correction,0,True,106,Mental Illness precedes Reflux Disorders,55.2083333333333,5.49513451631368,1250.5,3.42368240930869,3.42 [1.22-6.59],767,668,3494
Anaemia,Dysphagia,4.69662418958194,5.11937291520763e-29,3.68485849403121,5.98619426333372,101,Positive,Significant,Significant after FDR correction,0,True,42,Anaemia precedes Dysphagia,41.5841584158416,2.89066971951918,894.0,2.4476386036961,2.45 [0.11-5.23],598,407,3494
Chronic Kidney Disease,Dementia,4.68098608738101,3.22161101056572e-25,3.61137189149637,6.06739804389836,86,Positive,Significant,Significant after FDR correction,0,True,39,Chronic Kidney Disease precedes Dementia,45.3488372093023,2.46136233543217,632.5,1.73169062286105,1.73 [0.42-4.63],568,358,3494
Chronic Airway Diseases,Insomnia,4.66781351283969,2.7322642147265104e-23,3.56904786466391,6.10484471401186,78,Positive,Significant,Significant after FDR correction,0,True,42,Insomnia precedes Chronic Airway Diseases,53.8461538461538,2.23239839725243,1111.0,3.04175222450376,3.04 [1.06-7.38],460,393,3494
Anaemia,Reflux Disorders,4.63182248396256,6.06306597576391e-41,3.77694938520161,5.6801871920759,154,Positive,Significant,Significant after FDR correction,0,True,67,Reflux Disorders precedes Anaemia,43.5064935064935,4.40755580995993,577.0,1.57973990417522,1.58 [0.28-4.78],598,668,3494
Hypertension,Stroke,4.54538830474082,1.05135767014008e-19,3.37398981857333,6.12347871565624,71,Positive,Significant,Significant after FDR correction,0,True,39,Hypertension precedes Stroke,54.9295774647887,2.03205495134516,1366.0,3.73990417522245,3.74 [1.08-7.03],905,201,3494
Hypertension,Reflux Disorders,4.4377990430622,9.49827015858405e-51,3.70400559489224,5.31696290463534,212,Positive,Significant,Significant after FDR correction,0,True,104,Hypertension precedes Reflux Disorders,49.0566037735849,6.06754436176302,1283.5,3.51403148528405,3.51 [1.19-6.85],905,668,3494
Cardiac Arrhythmias,Hypertension,4.39912209101957,2.42286464622092e-27,3.44222670353784,5.6220222659381,106,Positive,Significant,Significant after FDR correction,0,True,55,Hypertension precedes Cardiac Arrhythmias,51.8867924528302,3.03377218088151,1071.0,2.93223819301848,2.93 [0.69-7.55],313,905,3494
Chronic Arthritis,Menopausal And Perimenopausal,4.34460647173875,2.39811888348467e-38,3.54718768311307,5.32128747631101,154,Positive,Significant,Significant after FDR correction,0,True,92,Menopausal and Perimenopausal precedes Chronic Arthritis,59.7402597402597,4.40755580995993,1369.5,3.74948665297741,3.75 [1.65-7.42],632,661,3494
Diabetes,Insomnia,4.28787669657235,2.1677327849016102e-21,3.28329429208633,5.59982899166955,78,Positive,Significant,Significant after FDR correction,0,True,44,Diabetes precedes Insomnia,56.4102564102564,2.23239839725243,1540.0,4.21629021218344,4.22 [1.50-7.42],492,393,3494
Hypertension,Insomnia,4.28627284442362,9.61283625305327e-32,3.42862378294087,5.35845752113543,129,Positive,Significant,Significant after FDR correction,0,True,66,Hypertension precedes Insomnia,51.1627906976744,3.69204350314825,1280.0,3.50444900752909,3.50 [1.33-6.92],905,393,3494
Chronic Kidney Disease,Thyroid Disorders,4.24990999220828,6.07619521884818e-29,3.38053126393574,5.34286877762628,113,Positive,Significant,Significant after FDR correction,0,True,76,Thyroid Disorders precedes Chronic Kidney Disease,67.2566371681416,3.23411562678878,1115.0,3.05270362765229,3.05 [1.05-7.50],568,522,3494
Chronic Pneumonia,Mental Illness,4.24947289668775,6.300708593260471e-19,3.18633178760812,5.66733821314929,71,Positive,Significant,Significant after FDR correction,0,True,37,Mental Illness precedes Chronic Pneumonia,52.112676056338,2.03205495134516,1226.0,3.35660506502396,3.36 [1.01-7.58],240,767,3494
Chronic Airway Diseases,Mental Illness,4.20148879144608,1.27924372849567e-31,3.37512426589352,5.23018018715046,129,Positive,Significant,Significant after FDR correction,0,True,61,Chronic Airway Diseases precedes Mental Illness,47.2868217054264,3.69204350314825,1385.0,3.79192334017796,3.79 [1.07-7.78],460,767,3494
Diabetes,Reflux Disorders,4.18986238986239,2.7049277131772e-30,3.3544038702427,5.2334028712867,122,Positive,Significant,Significant after FDR correction,0,True,60,Diabetes precedes Reflux Disorders,49.1803278688525,3.49170005724098,1526.0,4.17796030116359,4.18 [1.50-7.48],492,668,3494
Hearing Loss,Menopausal And Perimenopausal,4.09876381322493,1.5981900871332e-24,3.21183104669313,5.23061909308684,98,Positive,Significant,Significant after FDR correction,0,True,54,Menopausal and Perimenopausal precedes Hearing Loss,55.1020408163265,2.80480824270177,1390.5,3.80698151950719,3.81 [1.76-7.70],396,661,3494
Insomnia,Menopausal And Perimenopausal,4.07827175579835,3.53418701745482e-24,3.19264255741887,5.20957176226742,97,Positive,Significant,Significant after FDR correction,0,True,57,Menopausal and Perimenopausal precedes Insomnia,58.7628865979381,2.77618775042931,1217.0,3.33196440793977,3.33 [1.24-6.58],393,661,3494
Hypertension,Inflammatory Bowel Disease,4.03793403633258,1.33527743497617e-17,3.0137868157016,5.41010770795923,71,Positive,Significant,Significant after FDR correction,0,True,40,Hypertension precedes Inflammatory Bowel Disease,56.3380281690141,2.03205495134516,1254.0,3.43326488706365,3.43 [1.27-6.95],905,217,3494
Chronic Airway Diseases,Diabetes,4.02689602486763,9.446610937826479e-22,3.12101978687043,5.19570291201358,86,Positive,Significant,Significant after FDR correction,0,True,46,Chronic Airway Diseases precedes Diabetes,53.4883720930233,2.46136233543217,1461.0,4.0,4.00 [1.03-7.30],460,492,3494
Chronic Arthritis,Hypertension,4.0217039196631,8.494923763270209e-42,3.33744103988223,4.84625862274537,191,Positive,Significant,Significant after FDR correction,0,True,95,Hypertension precedes Chronic Arthritis,49.738219895288,5.46651402404121,1583.0,4.33401779603012,4.33 [1.52-8.02],632,905,3494
Hearing Loss,Thyroid Disorders,4.01494684222145,3.6733766895374005e-20,3.0818684110113,5.23052771762385,79,Positive,Significant,Significant after FDR correction,0,True,44,Thyroid Disorders precedes Hearing Loss,55.6962025316456,2.2610188895249,1379.0,3.77549623545517,3.78 [1.40-8.20],396,522,3494
Chronic Airway Diseases,Hearing Loss,3.95862828378166,5.53272884344962e-18,2.99914237067388,5.2250730216702,70,Positive,Significant,Significant after FDR correction,0,True,37,Chronic Airway Diseases precedes Hearing Loss,52.8571428571429,2.0034344590727,1405.5,3.84804928131417,3.85 [1.51-8.57],460,396,3494
Chronic Kidney Disease,Diabetes,3.93879168042258,1.85080824043908e-24,3.10680030999448,4.99358772813877,102,Positive,Significant,Significant after FDR correction,0,True,73,Diabetes precedes Chronic Kidney Disease,71.5686274509804,2.91929021179164,1557.5,4.26420260095825,4.26 [1.60-8.40],568,492,3494
Chronic Airway Diseases,Chronic Kidney Disease,3.93592847830136,3.20587109403085e-23,3.08554422870467,5.02068090361067,96,Positive,Significant,Significant after FDR correction,0,True,56,Chronic Airway Diseases precedes Chronic Kidney Disease,58.3333333333333,2.74756725815684,1764.5,4.83093771389459,4.83 [1.02-8.68],460,568,3494
Menopausal And Perimenopausal,Reflux Disorders,3.93478625059015,4.9850715425715695e-34,3.21489085852762,4.81588443251978,152,Positive,Significant,Significant after FDR correction,0,True,84,Menopausal and Perimenopausal precedes Reflux Disorders,55.2631578947368,4.350314825415,1494.5,4.09171800136893,4.09 [1.60-7.07],661,668,3494
Anaemia,Insomnia,3.93476842791911,2.62297147161752e-21,3.0506481389374,5.0751190816591,87,Positive,Significant,Significant after FDR correction,0,True,49,Insomnia precedes Anaemia,56.3218390804598,2.48998282770464,1155.0,3.16221765913758,3.16 [1.29-6.36],598,393,3494
Chronic Kidney Disease,Hearing Loss,3.87922005204045,3.36315880142497e-20,2.99443772022399,5.02543369345049,83,Positive,Significant,Significant after FDR correction,0,True,52,Hearing Loss precedes Chronic Kidney Disease,62.6506024096386,2.37550085861477,1369.0,3.74811772758385,3.75 [1.15-7.09],568,396,3494
Cancer,Menopausal And Perimenopausal,3.87718977589067,5.63953394982939e-19,2.96402637394294,5.07168245546811,78,Positive,Significant,Significant after FDR correction,0,True,60,Menopausal and Perimenopausal precedes Cancer,76.9230769230769,2.23239839725243,1230.5,3.36892539356605,3.37 [0.50-7.00],322,661,3494
Chronic Kidney Disease,Epilepsy,3.86242604387827,6.11667296633659e-23,3.03231711899625,4.91978060308131,97,Positive,Significant,Significant after FDR correction,0,True,48,Epilepsy precedes Chronic Kidney Disease,49.4845360824742,2.77618775042931,992.0,2.71594798083504,2.72 [0.66-5.20],568,472,3494
Anaemia,Chronic Arthritis,3.85048746190702,2.3442722459538398e-29,3.10882930044694,4.76907937408196,131,Positive,Significant,Significant after FDR correction,0,True,69,Chronic Arthritis precedes Anaemia,52.6717557251908,3.74928448769319,1097.0,3.00342231348392,3.00 [0.73-6.34],598,632,3494
Chronic Arthritis,Hearing Loss,3.81918819188192,3.6003159844295e-21,2.97218951909412,4.90756001638009,90,Positive,Significant,Significant after FDR correction,0,True,62,Hearing Loss precedes Chronic Arthritis,68.8888888888889,2.57584430452204,1845.0,5.05133470225873,5.05 [2.47-8.77],632,396,3494
Menopausal And Perimenopausal,Mental Illness,3.78341767881242,4.3308835964677903e-35,3.11529918712912,4.5948233131154,167,Positive,Significant,Significant after FDR correction,0,True,82,Mental Illness precedes Menopausal and Perimenopausal,49.1017964071856,4.779622209502,1525.0,4.17522245037645,4.18 [1.47-7.91],661,767,3494
Chronic Airway Diseases,Menopausal And Perimenopausal,3.64984971657959,1.08347272018104e-22,2.88576308076193,4.61624969922994,104,Positive,Significant,Significant after FDR correction,0,True,52,Chronic Airway Diseases precedes Menopausal and Perimenopausal,50.0,2.97653119633658,1357.5,3.71663244353183,3.72 [1.35-7.30],460,661,3494
Chronic Pneumonia,Hypertension,3.62730308613542,4.09184682409824e-16,2.72982563475774,4.8198417917836,73,Positive,Significant,Significant after FDR correction,0,True,37,Hypertension precedes Chronic Pneumonia,50.6849315068493,2.0892959358901,1053.0,2.8829568788501,2.88 [0.96-5.72],240,905,3494
Hypertension,Thyroid Disorders,3.61665010331243,3.02319884890317e-30,2.95035225934344,4.43342245942545,151,Positive,Significant,Significant after FDR correction,0,True,85,Thyroid Disorders precedes Hypertension,56.2913907284768,4.32169433314253,1639.0,4.48733744010951,4.49 [1.34-6.76],905,522,3494
Chronic Kidney Disease,Reflux Disorders,3.61121036549732,2.4775629556107098e-26,2.90853657098485,4.48364322937139,126,Positive,Significant,Significant after FDR correction,0,True,86,Reflux Disorders precedes Chronic Kidney Disease,68.2539682539683,3.60618202633085,1128.5,3.08966461327858,3.09 [1.60-5.91],568,668,3494
Diabetes,Mental Illness,3.58494489147339,1.34409387378842e-25,2.87990970206814,4.46258084608415,124,Positive,Significant,Significant after FDR correction,0,True,63,Mental Illness precedes Diabetes,50.8064516129032,3.54894104178592,1533.0,4.19712525667351,4.20 [1.38-9.42],492,767,3494
Chronic Kidney Disease,Insomnia,3.5844120505345,1.56651132325715e-17,2.75205689950838,4.66851166860396,78,Positive,Significant,Significant after FDR correction,0,True,47,Insomnia precedes Chronic Kidney Disease,60.2564102564103,2.23239839725243,1000.0,2.7378507871321,2.74 [1.14-7.47],568,393,3494
Anaemia,Hypertension,3.48618892221405,1.6026693014083501e-31,2.87095805113458,4.23326046041145,167,Positive,Significant,Significant after FDR correction,0,True,90,Hypertension precedes Anaemia,53.8922155688623,4.779622209502,1700.0,4.65434633812457,4.65 [1.55-7.07],598,905,3494
Chronic Arthritis,Mental Illness,3.46479674796748,4.7803834424936e-29,2.83607692186402,4.23289524066782,152,Positive,Significant,Significant after FDR correction,0,True,86,Mental Illness precedes Chronic Arthritis,56.578947368421,4.350314825415,1184.0,3.24161533196441,3.24 [1.24-7.94],632,767,3494
Anaemia,Chronic Airway Diseases,3.46343873517787,2.67995716301e-19,2.70914495239281,4.4277467921145,92,Positive,Significant,Significant after FDR correction,0,True,46,Chronic Airway Diseases precedes Anaemia,50.0,2.63308528906697,1110.0,3.03901437371663,3.04 [0.72-7.75],598,460,3494
Chronic Kidney Disease,Mental Illness,3.45880134580545,7.85692082403671e-27,2.80804741242663,4.26036494141929,138,Positive,Significant,Significant after FDR correction,0,True,83,Mental Illness precedes Chronic Kidney Disease,60.1449275362319,3.94962793360046,1195.5,3.27310061601643,3.27 [0.87-8.93],568,767,3494
Chronic Arthritis,Insomnia,3.43041306774781,1.86583712511657e-17,2.65210208820481,4.43713455364777,83,Positive,Significant,Significant after FDR correction,0,True,44,Insomnia precedes Chronic Arthritis,53.0120481927711,2.37550085861477,1329.0,3.63860369609856,3.64 [1.29-5.78],632,393,3494
Diabetes,Thyroid Disorders,3.42414245039996,4.8571994599409e-18,2.66149400586569,4.40532704367953,86,Positive,Significant,Significant after FDR correction,0,True,43,Thyroid Disorders precedes Diabetes,50.0,2.46136233543217,1073.0,2.93771389459274,2.94 [0.77-6.49],492,522,3494
Cardiac Arrhythmias,Mental Illness,3.42268559928444,1.8491651972146699e-16,2.62120903300892,4.469226438649,79,Positive,Significant,Significant after FDR correction,0,True,48,Mental Illness precedes Cardiac Arrhythmias,60.7594936708861,2.2610188895249,985.0,2.69678302532512,2.70 [0.39-7.73],313,767,3494
Chronic Arthritis,Diabetes,3.38237943175305,3.13067975063066e-20,2.67162196443976,4.28222659216877,101,Positive,Significant,Significant after FDR correction,0,True,101,No clear precedence,100.0,2.89066971951918,1332.0,3.64681724845996,3.65 [1.70-7.31],632,492,3494
Cancer,Hypertension,3.36580565805658,4.57035729041574e-18,2.61481275456491,4.33248908856984,92,Positive,Significant,Significant after FDR correction,0,True,56,Hypertension precedes Cancer,60.8695652173913,2.63308528906697,1145.5,3.13620807665982,3.14 [1.03-7.82],322,905,3494
Chronic Arthritis,Chronic Kidney Disease,3.33993842804415,5.1166279339812195e-22,2.66992646678126,4.17808836382458,114,Positive,Significant,Significant after FDR correction,0,True,76,Chronic Arthritis precedes Chronic Kidney Disease,66.6666666666667,3.26273611906125,1251.0,3.42505133470226,3.43 [1.12-7.07],632,568,3494
Hypertension,Menopausal And Perimenopausal,3.3089041640178,6.490761471728499e-31,2.74067078395529,3.99495146617105,177,Positive,Significant,Significant after FDR correction,0,True,91,Menopausal and Perimenopausal precedes Hypertension,51.4124293785311,5.06582713222667,1249.0,3.41957563312799,3.42 [0.87-6.92],905,661,3494
Anaemia,Mental Illness,3.25496440614462,5.985706286500991e-25,2.6473568578621,4.00202687212495,139,Positive,Significant,Significant after FDR correction,0,True,77,Mental Illness precedes Anaemia,55.3956834532374,3.97824842587293,1246.0,3.4113620807666,3.41 [0.62-7.01],598,767,3494
Hypertension,Osteoporosis,3.20938123752495,2.22757054594596e-13,2.41285540261834,4.26885420344703,70,Positive,Significant,Significant after FDR correction,0,True,49,Hypertension precedes Osteoporosis,70.0,2.0034344590727,1639.5,4.48870636550308,4.49 [2.23-9.34],905,250,3494
Chronic Airway Diseases,Thyroid Disorders,3.1945727110042,4.23084320947122e-15,2.45614863933372,4.15499886385585,77,Positive,Significant,Significant after FDR correction,0,True,39,Thyroid Disorders precedes Chronic Airway Diseases,50.6493506493506,2.20377790497997,1296.0,3.5482546201232,3.55 [1.56-7.78],460,522,3494
Epilepsy,Mental Illness,3.16678860045242,1.07556491126404e-19,2.52138878361316,3.97739139046395,110,Positive,Significant,Significant after FDR correction,0,True,51,Mental Illness precedes Epilepsy,46.3636363636364,3.14825414997138,1344.0,3.67967145790554,3.68 [0.79-8.01],472,767,3494
Hearing Loss,Hypertension,3.14659486085456,6.890685116928241e-19,2.49106434902832,3.97463005009019,107,Positive,Significant,Significant after FDR correction,0,True,51,Hypertension precedes Hearing Loss,47.6635514018692,3.06239267315398,1283.0,3.51266255989049,3.51 [1.44-7.34],396,905,3494
Chronic Arthritis,Thyroid Disorders,3.12780081502655,2.80724707580628e-18,2.47420711863549,3.95404970941806,101,Positive,Significant,Significant after FDR correction,0,True,55,Thyroid Disorders precedes Chronic Arthritis,54.4554455445545,2.89066971951918,1743.0,4.77207392197125,4.77 [1.93-8.34],632,522,3494
Anaemia,Diabetes,3.12289788349639,9.706812949140181e-17,2.44482560837704,3.98903347434267,91,Positive,Significant,Significant after FDR correction,0,True,59,Diabetes precedes Anaemia,64.8351648351648,2.6044647967945,1231.0,3.37029431895962,3.37 [1.50-6.45],598,492,3494
Diabetes,Menopausal And Perimenopausal,3.10268669691125,1.2891991781792e-17,2.44903397212281,3.93080081728949,99,Positive,Significant,Significant after FDR correction,0,True,50,Diabetes precedes Menopausal and Perimenopausal,50.5050505050505,2.83342873497424,1612.0,4.41341546885695,4.41 [1.05-7.53],492,661,3494
Reflux Disorders,Thyroid Disorders,3.0394652007194,5.60368329164606e-18,2.4118399282849,3.83041535967678,104,Positive,Significant,Significant after FDR correction,0,True,60,Thyroid Disorders precedes Reflux Disorders,57.6923076923077,2.97653119633658,1586.5,4.34360027378508,4.34 [2.06-6.93],668,522,3494
Dysphagia,Mental Illness,3.02989566992383,3.52644685711499e-16,2.37261989220586,3.86925347830922,93,Positive,Significant,Significant after FDR correction,0,True,58,Mental Illness precedes Dysphagia,62.3655913978495,2.66170578133944,1271.0,3.4798083504449,3.48 [0.80-6.68],407,767,3494
Hypertension,Mental Illness,3.01642010971055,8.28157629888107e-29,2.51706188786507,3.61484567468607,191,Positive,Significant,Significant after FDR correction,0,True,108,Mental Illness precedes Hypertension,56.5445026178011,5.46651402404121,1398.0,3.82751540041068,3.83 [1.45-7.69],905,767,3494
Menopausal And Perimenopausal,Thyroid Disorders,2.95340176450628,7.67638015687324e-17,2.33811014095212,3.73061209983752,101,Positive,Significant,Significant after FDR correction,0,True,57,Thyroid Disorders precedes Menopausal and Perimenopausal,56.4356435643564,2.89066971951918,1616.0,4.42436687200548,4.42 [1.09-7.33],661,522,3494
Anaemia,Epilepsy,2.89558489530037,7.86039058603106e-14,2.24762876775822,3.73033661348545,83,Positive,Significant,Significant after FDR correction,0,True,43,Epilepsy precedes Anaemia,51.8072289156626,2.37550085861477,1282.0,3.50992470910335,3.51 [1.71-6.90],598,472,3494
Anaemia,Thyroid Disorders,2.89303349396157,4.85275405272585e-15,2.26795590366147,3.69039044527771,91,Positive,Significant,Significant after FDR correction,0,True,45,Thyroid Disorders precedes Anaemia,49.4505494505495,2.6044647967945,1253.0,3.43052703627652,3.43 [0.92-6.40],598,522,3494
Mental Illness,Thyroid Disorders,2.87267371002595,1.18698648424442e-17,2.29796805703361,3.59110920581153,113,Positive,Significant,Significant after FDR correction,0,True,56,Thyroid Disorders precedes Mental Illness,49.5575221238938,3.23411562678878,1608.0,4.40246406570842,4.40 [1.77-8.24],767,522,3494
