ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Chronic Airway Diseases,Inflammatory Bowel Disease,3.21371902124818,7.29170996751627e-17,2.49620690615947,4.13747350912609,93,Positive,Significant,Significant after FDR correction,0,True,50,IBD precedes CHRONIC AIRWAY DISEASES,53.763440860215,2.33258088788563,1318.0,3.60848733744011,3.61 [1.43-7.25],714,339,3987
Anaemia,Reflux Disorders,3.18662624983034,5.13979361577736e-25,2.59385349292547,3.91486523190443,154,Positive,Significant,Significant after FDR correction,0,True,78,REFLUX DISORDERS precedes ANAEMIA,50.6493506493506,3.86255329821921,1040.5,2.84873374401095,2.85 [0.42-5.30],495,867,3987
Chronic Diarrhoea,Mental Illness,3.14957715463724,1.39042365274257e-13,2.37494657339048,4.17686711952061,78,Positive,Significant,Significant after FDR correction,0,True,45,MENTAL ILLNESS precedes CHRONIC DIARRHOEA,57.6923076923077,1.95635816403311,1036.0,2.83641341546886,2.84 [0.69-5.92],231,915,3987
Mental Illness,Reflux Disorders,3.10704877827232,4.69523762536267e-37,2.63031652870134,3.67018646053593,261,Positive,Significant,Significant after FDR correction,0,True,123,MENTAL ILLNESS precedes REFLUX DISORDERS,47.1264367816092,6.54627539503386,1142.0,3.12662559890486,3.13 [0.91-6.69],915,867,3987
Chronic Airway Diseases,Mental Illness,3.0949815046748,3.19096215440797e-32,2.59122445778391,3.69667339527633,220,Positive,Significant,Significant after FDR correction,0,True,110,MENTAL ILLNESS precedes CHRONIC AIRWAY DISEASES,50.0,5.5179332831703,1116.5,3.05681040383299,3.06 [0.86-6.66],714,915,3987
Cancer,Menopausal And Perimenopausal,3.07814244830756,7.45881011064581e-19,2.43935435568466,3.88420850377579,116,Positive,Significant,Significant after FDR correction,0,True,74,MENOPAUSAL AND PERIMENOPAUSAL precedes CANCER,63.7931034482759,2.90945573112616,1403.5,3.8425735797399,3.84 [0.68-8.14],369,877,3987
Anaemia,Cancer,3.06022856781056,4.73823568387284e-13,2.31968490974393,4.0371857608358,71,Positive,Significant,Significant after FDR correction,0,True,37,ANAEMIA precedes CANCER,52.112676056338,1.7807875595686,776.0,2.12457221081451,2.12 [0.42-5.25],495,369,3987
Chronic Constipation,Mental Illness,3.03437876960193,3.3808989224818305e-14,2.32080066550891,3.96736120178244,86,Positive,Significant,Significant after FDR correction,0,True,49,CHRONIC CONSTIPATION precedes MENTAL ILLNESS,56.9767441860465,2.15701028342112,1250.0,3.42231348391513,3.42 [1.13-6.84],262,915,3987
Chronic Pain Conditions,Hypertension,3.01590894565287,1.29911272093758e-17,2.38486254000258,3.81393334664024,109,Positive,Significant,Significant after FDR correction,0,True,57,HYPERTENSION precedes CHRONIC PAIN CONDITIONS,52.2935779816514,2.73388512666165,1164.0,3.18685831622177,3.19 [1.37-6.82],401,752,3987
Chronic Diarrhoea,Menopausal And Perimenopausal,2.99052207317841,2.9253992148017698e-12,2.24409799308842,3.9852191382513,73,Positive,Significant,Significant after FDR correction,0,True,47,MENOPAUSAL AND PERIMENOPAUSAL precedes CHRONIC DIARRHOEA,64.3835616438356,1.8309505894156,1181.0,3.23340177960301,3.23 [1.71-6.55],231,877,3987
Anaemia,Chronic Arthritis,2.98665950398424,3.54786754324193e-20,2.40399274238163,3.71054988456505,130,Positive,Significant,Significant after FDR correction,0,True,64,CHRONIC ARTHRITIS precedes ANAEMIA,49.2307692307692,3.26059694005518,900.0,2.46406570841889,2.46 [0.73-6.25],495,742,3987
Chronic Pain Conditions,Menopausal And Perimenopausal,2.98328339980535,5.82990555576722e-19,2.38074712045234,3.73831381212096,123,Positive,Significant,Significant after FDR correction,0,True,63,MENOPAUSAL AND PERIMENOPAUSAL precedes CHRONIC PAIN CONDITIONS,51.219512195122,3.08502633559067,1255.0,3.43600273785079,3.44 [1.38-6.32],401,877,3987
Insomnia,Menopausal And Perimenopausal,2.9784905387315,9.08720541622355e-20,2.39014048823599,3.71166713127416,130,Positive,Significant,Significant after FDR correction,0,True,69,MENOPAUSAL AND PERIMENOPAUSAL precedes INSOMNIA,53.0769230769231,3.26059694005518,1458.0,3.9917864476386,3.99 [1.77-7.56],426,877,3987
Diabetes,Neuropathic Pain,2.97375622066893,1.84416812656625e-13,2.27693467972918,3.88382949177047,78,Positive,Significant,Significant after FDR correction,0,True,42,NEUROPATHIC PAIN precedes DIABETES,53.8461538461538,1.95635816403311,1343.5,3.67830253251198,3.68 [1.36-5.88],580,359,3987
Chronic Constipation,Menopausal And Perimenopausal,2.96941998602376,2.33219466146008e-13,2.26319006998343,3.89602940130517,82,Positive,Significant,Significant after FDR correction,0,True,43,CHRONIC CONSTIPATION precedes MENOPAUSAL AND PERIMENOPAUSAL,52.4390243902439,2.05668422372711,1285.5,3.51950718685832,3.52 [1.48-6.74],262,877,3987
Epilepsy,Osteoporosis,2.88160377358491,8.16404343407191e-13,2.2035687935846,3.76826915143912,82,Positive,Significant,Significant after FDR correction,0,True,52,EPILEPSY precedes OSTEOPOROSIS,63.4146341463415,2.05668422372711,1256.5,3.44010951403149,3.44 [1.09-6.84],824,282,3987
Chronic Airway Diseases,Chronic Kidney Disease,2.87491068694498,2.36616918998787e-19,2.32016010788773,3.56230220053004,132,Positive,Significant,Significant after FDR correction,0,True,79,CHRONIC AIRWAY DISEASES precedes CKD,59.8484848484849,3.31075996990218,994.0,2.72142368240931,2.72 [1.06-5.66],714,536,3987
Chronic Kidney Disease,Dysphagia,2.86986495625804,4.1422780842641495e-12,2.18409189645197,3.77096077346263,73,Positive,Significant,Significant after FDR correction,0,True,36,DYSPHAGIA precedes CKD,49.3150684931507,1.8309505894156,1286.0,3.52087611225188,3.52 [0.93-6.31],536,370,3987
Mental Illness,Neuropathic Pain,2.86690094332488,1.88118356042955e-16,2.26568504876598,3.62765381857187,112,Positive,Significant,Significant after FDR correction,0,True,58,MENTAL ILLNESS precedes NEUROPATHIC PAIN,51.7857142857143,2.80912967143215,1530.0,4.18891170431212,4.19 [1.79-8.26],915,359,3987
Chronic Airway Diseases,Chronic Arthritis,2.86621041154912,2.90308314002583e-24,2.36757611144615,3.46986189105222,176,Positive,Significant,Significant after FDR correction,0,True,91,CHRONIC AIRWAY DISEASES precedes CHRONIC ARTHRITIS,51.7045454545455,4.41434662653624,1440.0,3.94250513347023,3.94 [1.35-7.17],714,742,3987
Chronic Kidney Disease,Insomnia,2.86319258072198,2.53586469046461e-13,2.21159638642511,3.70676666168398,83,Positive,Significant,Significant after FDR correction,0,True,56,INSOMNIA precedes CKD,67.4698795180723,2.08176573865061,1326.0,3.63039014373717,3.63 [1.24-6.56],536,426,3987
Chronic Kidney Disease,Thyroid Disorders,2.85955785352568,1.81044963779492e-22,2.34282752640234,3.49025740286447,163,Positive,Significant,Significant after FDR correction,0,True,85,THYROID DISORDERS precedes CKD,52.1472392638037,4.08828693253072,1097.0,3.00342231348392,3.00 [1.17-5.89],536,919,3987
Anaemia,Diabetes,2.85930563096873,8.24929143726562e-16,2.25580985115488,3.6242543612902,102,Positive,Significant,Significant after FDR correction,0,True,57,ANAEMIA precedes DIABETES,55.8823529411765,2.55831452219714,898.0,2.45859000684463,2.46 [0.67-5.60],495,580,3987
Epilepsy,Inflammatory Bowel Disease,2.85209794582059,1.06674532416908e-14,2.22566725282552,3.65484224213086,97,Positive,Significant,Significant after FDR correction,0,True,50,IBD precedes EPILEPSY,51.5463917525773,2.43290694757963,1031.0,2.8227241615332,2.82 [1.02-5.95],824,339,3987
Hearing Loss,Menopausal And Perimenopausal,2.83838758939524,5.14510810962412e-19,2.28894287498716,3.51972266135219,135,Positive,Significant,Significant after FDR correction,0,True,72,MENOPAUSAL AND PERIMENOPAUSAL precedes HEARING LOSS,53.3333333333333,3.38600451467269,1453.0,3.97809719370294,3.98 [1.53-7.17],458,877,3987
Chronic Arthritis,Hearing Loss,2.83050791788856,3.92050241497861e-17,2.25837904990097,3.54757766353756,117,Positive,Significant,Significant after FDR correction,0,True,117,No clear precedence,100.0,2.93453724604966,1277.0,3.49623545516769,3.50 [1.54-6.15],742,458,3987
Menopausal And Perimenopausal,Reflux Disorders,2.80260542232373,1.89870846778602e-29,2.36327151073721,3.32361183112141,238,Positive,Significant,Significant after FDR correction,0,True,128,MENOPAUSAL AND PERIMENOPAUSAL precedes REFLUX DISORDERS,53.781512605042,5.96940055179333,1215.5,3.32785763175907,3.33 [1.34-6.66],877,867,3987
Chronic Kidney Disease,Hypertension,2.77511246195694,1.04575323002437e-18,2.24458551649704,3.4310339792834,135,Positive,Significant,Significant after FDR correction,0,True,98,HYPERTENSION precedes CKD,72.5925925925926,3.38600451467269,1443.0,3.95071868583162,3.95 [1.44-7.11],536,752,3987
Chronic Arthritis,Mental Illness,2.75027062834246,3.63242504147106e-26,2.30255567817322,3.28504044476539,213,Positive,Significant,Significant after FDR correction,0,True,119,MENTAL ILLNESS precedes CHRONIC ARTHRITIS,55.868544600939,5.34236267870579,1224.0,3.35112936344969,3.35 [1.53-7.26],742,915,3987
Chronic Airway Diseases,Hearing Loss,2.74687083315411,1.30874193560477e-15,2.18300016613812,3.45638973879738,111,Positive,Significant,Significant after FDR correction,0,True,54,CHRONIC AIRWAY DISEASES precedes HEARING LOSS,48.6486486486487,2.78404815650865,1252.0,3.42778918548939,3.43 [1.78-7.46],714,458,3987
Chronic Arthritis,Insomnia,2.73515167970775,3.5507425066783e-15,2.16459128649167,3.4561049735783,107,Positive,Significant,Significant after FDR correction,0,True,66,INSOMNIA precedes CHRONIC ARTHRITIS,61.6822429906542,2.68372209681465,1397.0,3.82477754962355,3.82 [1.75-7.48],742,426,3987
Chronic Arthritis,Menopausal And Perimenopausal,2.71794163624011,6.73047793282008e-25,2.26974163909879,3.25464652485323,204,Positive,Significant,Significant after FDR correction,0,True,113,MENOPAUSAL AND PERIMENOPAUSAL precedes CHRONIC ARTHRITIS,55.3921568627451,5.11662904439428,1343.5,3.67830253251198,3.68 [1.66-5.84],742,877,3987
Chronic Airway Diseases,Dysphagia,2.70175137362637,6.83328127431097e-13,2.10081060795061,3.47459235842911,90,Positive,Significant,Significant after FDR correction,0,True,51,CHRONIC AIRWAY DISEASES precedes DYSPHAGIA,56.6666666666667,2.25733634311512,1445.5,3.95756331279945,3.96 [1.23-6.44],714,370,3987
Chronic Arthritis,Diabetes,2.67283298097252,3.69094758449857e-18,2.17065183824691,3.29119392538979,140,Positive,Significant,Significant after FDR correction,0,True,68,CHRONIC ARTHRITIS precedes DIABETES,48.5714285714286,3.51141208929019,1049.5,2.87337440109514,2.87 [1.32-5.62],742,580,3987
Hypertension,Reflux Disorders,2.66314149008886,5.54898066285288e-24,2.22336391200089,3.18990632075613,202,Positive,Significant,Significant after FDR correction,0,True,116,HYPERTENSION precedes REFLUX DISORDERS,57.4257425742574,5.06646601454728,1200.5,3.28678986995209,3.29 [1.25-6.50],752,867,3987
Hypertension,Neuropathic Pain,2.63715899774256,2.18911612818343e-12,2.04972448817021,3.39294750075554,90,Positive,Significant,Significant after FDR correction,0,True,47,HYPERTENSION precedes NEUROPATHIC PAIN,52.2222222222222,2.25733634311512,1261.0,3.45242984257358,3.45 [1.20-6.84],752,359,3987
Diabetes,Insomnia,2.63292303338993,8.34803850682517e-12,2.03867303361808,3.40039014861169,84,Positive,Significant,Significant after FDR correction,0,True,51,INSOMNIA precedes DIABETES,60.7142857142857,2.10684725357412,1483.5,4.06160164271047,4.06 [1.08-7.00],580,426,3987
Chronic Arthritis,Hypertension,2.63174786571667,5.72018646662498e-21,2.17597770626551,3.18298152079465,175,Positive,Significant,Significant after FDR correction,0,True,101,HYPERTENSION precedes CHRONIC ARTHRITIS,57.7142857142857,4.38926511161274,1412.0,3.86584531143053,3.87 [1.53-7.21],742,752,3987
Chronic Arthritis,Chronic Kidney Disease,2.60024270294437,3.96994742287687e-16,2.09616590218755,3.22553768628686,128,Positive,Significant,Significant after FDR correction,0,True,69,CHRONIC ARTHRITIS precedes CKD,53.90625,3.21043391020818,986.0,2.69952087611225,2.70 [1.08-7.48],742,536,3987
Diabetes,Mental Illness,2.57641093926047,4.1072117016935605e-19,2.11708779325083,3.13538878694701,164,Positive,Significant,Significant after FDR correction,0,True,84,MENTAL ILLNESS precedes DIABETES,51.219512195122,4.11336844745423,782.0,2.1409993155373,2.14 [0.37-5.31],580,915,3987
Insomnia,Reflux Disorders,2.55607766990291,2.18881762706805e-14,2.03871574640096,3.20472977466832,117,Positive,Significant,Significant after FDR correction,0,True,60,INSOMNIA precedes REFLUX DISORDERS,51.2820512820513,2.93453724604966,1252.0,3.42778918548939,3.43 [1.61-7.09],426,867,3987
Diabetes,Reflux Disorders,2.53398876404494,7.170021944288279e-18,2.07468480909881,3.09497569372728,155,Positive,Significant,Significant after FDR correction,0,True,88,REFLUX DISORDERS precedes DIABETES,56.7741935483871,3.88763481314271,1125.0,3.08008213552361,3.08 [1.29-6.01],580,867,3987
Chronic Airway Diseases,Hypertension,2.52827659396207,8.96378548033941e-19,2.0826233180775,3.0692936548301,165,Positive,Significant,Significant after FDR correction,0,True,90,HYPERTENSION precedes CHRONIC AIRWAY DISEASES,54.5454545454545,4.13844996237773,1193.0,3.2662559890486,3.27 [1.52-6.41],714,752,3987
Epilepsy,Thyroid Disorders,2.4191089579714,2.27243030701048e-21,2.03289077464981,2.87870269446503,218,Positive,Significant,Significant after FDR correction,0,True,110,THYROID DISORDERS precedes EPILEPSY,50.4587155963303,5.4677702533233,967.5,2.64887063655031,2.65 [0.82-6.08],824,919,3987
