ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Chronic Kidney Disease,Coronary Heart Disease,6.88860226531459,9.71157727354124e-41,5.38219398689148,8.81663523932254,100,Positive,Significant,Significant after FDR correction,0,True,55,Coronary Heart Disease Precedes Chronic Kidney Disease,55.0,2.51952632905014,558.5,1.52908966461328,1.53 [0.28-5.34],611,364,3969
Heart Failure,Hypertension,6.81723972592146,2.26956367334773e-37,5.2171113179796,8.90813989736368,98,Positive,Significant,Significant after FDR correction,0,True,61,Hypertension Precedes Heart Failure,62.2448979591837,2.46913580246914,1091.0,2.98699520876112,2.99 [0.71-7.10],236,1035,3969
Hypertension,Stroke,6.72375752589656,1.02549570762766e-37,5.1625169026163,8.7571461982312,100,Positive,Significant,Significant after FDR correction,0,True,58,Hypertension Precedes Stroke,58.0,2.51952632905014,1059.0,2.8993839835729,2.90 [0.67-5.78],1035,243,3969
Chronic Airway Diseases,Coronary Heart Disease,6.50721490097917,1.4681667454146899e-30,4.94710449425827,8.55931905555474,75,Positive,Significant,Significant after FDR correction,0,True,35,Chronic Airway Diseases Precedes Coronary Heart Disease,46.6666666666667,1.8896447467876,877.0,2.40109514031485,2.40 [0.42-7.07],451,364,3969
Anaemia,Chronic Pneumonia,6.23446819085487,2.81873596790081e-29,4.72873971933176,8.21965173170367,75,Positive,Significant,Significant after FDR correction,0,True,35,Anaemia Precedes Chronic Pneumonia,46.6666666666667,1.8896447467876,821.0,2.24777549623546,2.25 [0.54-5.68],578,299,3969
Coronary Heart Disease,Diabetes,6.16045245077503,1.5667902499701e-32,4.74921989954545,7.99103330673158,85,Positive,Significant,Significant after FDR correction,0,True,38,Coronary Heart Disease Precedes Diabetes,44.7058823529412,2.14159737969262,737.0,2.01779603011636,2.02 [0.42-6.48],364,547,3969
Anaemia,Cancer,6.12819318130908,3.3746529140884797e-28,4.63472194182894,8.10291364590976,73,Positive,Significant,Significant after FDR correction,0,True,39,Anaemia Precedes Cancer,53.4246575342466,1.8392542202066,336.0,0.919917864476386,0.92 [0.16-3.29],578,294,3969
Chronic Airway Diseases,Reflux Disorders,6.0215479876161,2.29716832297453e-45,4.82880789912851,7.50890093882331,128,Positive,Significant,Significant after FDR correction,0,True,70,Reflux Disorders Precedes Chronic Airway Diseases,54.6875,3.22499370118418,1141.0,3.12388774811773,3.12 [1.61-7.80],451,728,3969
Dysphagia,Reflux Disorders,5.95369277187459,1.10099734157541e-48,4.81594314478805,7.36023174613946,140,Positive,Significant,Significant after FDR correction,0,True,76,Reflux Disorders Precedes Dysphagia,54.2857142857143,3.52733686067019,734.5,2.01095140314853,2.01 [0.14-4.93],503,728,3969
Chronic Kidney Disease,Dementia,5.83439162629713,3.57963869068519e-35,4.56889121410067,7.45041281437174,98,Positive,Significant,Significant after FDR correction,0,True,57,Dementia Precedes Chronic Kidney Disease,58.1632653061224,2.46913580246914,518.5,1.41957563312799,1.42 [0.47-2.77],611,401,3969
Chronic Kidney Disease,Diabetes,5.70837760724124,2.1667926051024698e-43,4.5878614212278,7.10256302775002,127,Positive,Significant,Significant after FDR correction,0,True,84,Diabetes Precedes Chronic Kidney Disease,66.1417322834646,3.19979843789368,1287.0,3.52361396303901,3.52 [0.73-7.23],611,547,3969
Cardiac Arrhythmias,Hypertension,5.51691857630424,5.764253513323449e-50,4.49522374804553,6.77082883600715,160,Positive,Significant,Significant after FDR correction,0,True,100,Hypertension Precedes Cardiac Arrhythmias,62.5,4.03124212648022,970.0,2.65571526351814,2.66 [0.60-6.48],453,1035,3969
Insomnia,Reflux Disorders,5.41395623891189,8.91061025994184e-35,4.26724294690773,6.86881963870681,105,Positive,Significant,Significant after FDR correction,0,True,52,Insomnia Precedes Reflux Disorders,49.5238095238095,2.64550264550265,1040.0,2.84736481861739,2.85 [1.23-6.25],390,728,3969
Coronary Heart Disease,Reflux Disorders,5.36491228070175,1.94563621801185e-32,4.19801572199627,6.85616388447868,98,Positive,Significant,Significant after FDR correction,0,True,64,Reflux Disorders Precedes Coronary Heart Disease,65.3061224489796,2.46913580246914,1543.0,4.22450376454483,4.22 [1.42-8.96],364,728,3969
Chronic Kidney Disease,Hypertension,5.35515942158483,3.8446606795656e-61,4.46305191189871,6.42558791533044,206,Positive,Significant,Significant after FDR correction,0,True,138,Hypertension Precedes Chronic Kidney Disease,66.9902912621359,5.19022423784329,1331.0,3.64407939767283,3.64 [0.65-7.48],611,1035,3969
Hypertension,Neuropathic Pain,5.21678058783322,9.45780067340657e-27,3.96986788457088,6.85534141006692,85,Positive,Significant,Significant after FDR correction,0,True,44,Hypertension Precedes Neuropathic Pain,51.7647058823529,2.14159737969262,1144.0,3.13210130047912,3.13 [1.50-5.91],1035,239,3969
Chronic Kidney Disease,Dysphagia,5.1197350845383,8.91597755312577e-35,4.06882955225208,6.44207062479291,110,Positive,Significant,Significant after FDR correction,0,True,58,Dysphagia Precedes Chronic Kidney Disease,52.7272727272727,2.77147896195515,741.5,2.03011635865845,2.03 [0.30-5.10],611,503,3969
Cardiac Arrhythmias,Chronic Airway Diseases,5.11475281602003,1.35881965028832e-25,3.91990908888173,6.67380180912509,77,Positive,Significant,Significant after FDR correction,0,True,40,Chronic Airway Diseases Precedes Cardiac Arrhythmias,51.9480519480519,1.94003527336861,897.0,2.4558521560575,2.46 [0.79-5.78],453,451,3969
Anaemia,Chronic Airway Diseases,5.10171679810175,1.5309620630586598e-30,3.99663772699591,6.51235264888451,95,Positive,Significant,Significant after FDR correction,0,True,50,Chronic Airway Diseases Precedes Anaemia,52.6315789473684,2.39355001259763,1123.0,3.07460643394935,3.07 [0.93-7.64],578,451,3969
Chronic Airway Diseases,Hypertension,5.08591492214516,1.9069384495130302e-44,4.13438212811701,6.2564440813021,152,Positive,Significant,Significant after FDR correction,0,True,82,Hypertension Precedes Chronic Airway Diseases,53.9473684210526,3.82968002015621,1667.0,4.56399726214921,4.56 [0.88-7.74],451,1035,3969
Cardiac Arrhythmias,Dysphagia,5.05050740244873,2.93564897518934e-27,3.90837915656456,6.52639470235288,84,Positive,Significant,Significant after FDR correction,0,True,45,Dysphagia Precedes Cardiac Arrhythmias,53.5714285714286,2.11640211640212,747.0,2.04517453798768,2.05 [0.52-5.23],453,503,3969
Insomnia,Mental Illness,4.86005652738523,2.16311875224968e-31,3.83540686563424,6.15844688109089,105,Positive,Significant,Significant after FDR correction,0,True,59,Mental Illness Precedes Insomnia,56.1904761904762,2.64550264550265,1152.0,3.15400410677618,3.15 [1.00-6.60],390,794,3969
Anaemia,Dysphagia,4.83947140607236,1.12574484913152e-30,3.81916659884793,6.1323545030104,101,Positive,Significant,Significant after FDR correction,0,True,46,Anaemia Precedes Dysphagia,45.5445544554455,2.54472159234064,748.0,2.04791238877481,2.05 [0.19-5.21],578,503,3969
Dementia,Hearing Loss,4.7404565617529,1.71062276016139e-22,3.60908371639651,6.22649131461635,72,Positive,Significant,Significant after FDR correction,0,True,58,Hearing Loss Precedes Dementia,80.5555555555556,1.8140589569161,1865.5,5.10746064339494,5.11 [2.67-10.17],401,503,3969
Anaemia,Coronary Heart Disease,4.61928481507945,4.03251359779171e-22,3.52013085397471,6.06164744663689,73,Positive,Significant,Significant after FDR correction,0,True,36,Anaemia Precedes Coronary Heart Disease,49.3150684931507,1.8392542202066,1265.0,3.46338124572211,3.46 [1.08-7.74],578,364,3969
Chronic Arthritis,Hearing Loss,4.58380040621055,7.27362579982551e-28,3.60279867535309,5.83191792195184,96,Positive,Significant,Significant after FDR correction,0,True,47,Chronic Arthritis Precedes Hearing Loss,48.9583333333333,2.41874527588813,1204.5,3.29774127310062,3.30 [1.48-6.17],569,503,3969
Hypertension,Reflux Disorders,4.54720906044147,2.7380422197149797e-55,3.82138914277047,5.41088841435559,219,Positive,Significant,Significant after FDR correction,0,True,115,Reflux Disorders Precedes Hypertension,52.5114155251142,5.5177626606198,1557.0,4.26283367556468,4.26 [1.61-7.48],1035,728,3969
Anaemia,Hypertension,4.53463827304551,5.8413520782251004e-46,3.74988945287309,5.48361345735518,178,Positive,Significant,Significant after FDR correction,0,True,118,Hypertension Precedes Anaemia,66.2921348314607,4.48475686570925,1441.0,3.94524298425736,3.95 [1.19-6.97],578,1035,3969
Anaemia,Cardiac Arrhythmias,4.46556041534506,6.214286035132931e-25,3.4750697241861,5.73836826475971,87,Positive,Significant,Significant after FDR correction,0,True,44,Anaemia Precedes Cardiac Arrhythmias,50.5747126436782,2.19198790627362,1027.0,2.81177275838467,2.81 [0.36-5.19],578,453,3969
Chronic Airway Diseases,Chronic Kidney Disease,4.40044448934236,2.89744369372101e-25,3.43662902470445,5.63456560617532,90,Positive,Significant,Significant after FDR correction,0,True,59,Chronic Airway Diseases Precedes Chronic Kidney Disease,65.5555555555556,2.26757369614512,1341.0,3.67145790554415,3.67 [1.55-7.16],451,611,3969
Chronic Arthritis,Insomnia,4.39165068405575,2.5164385609227102e-21,3.35659004370725,5.74588957234286,74,Positive,Significant,Significant after FDR correction,0,True,40,Insomnia Precedes Chronic Arthritis,54.0540540540541,1.8644494834971,1205.0,3.29911019849418,3.30 [1.46-6.71],569,390,3969
Dysphagia,Epilepsy,4.35241903024123,1.44979329459961e-24,3.39387080134777,5.58169492111579,88,Positive,Significant,Significant after FDR correction,0,True,56,Epilepsy Precedes Dysphagia,63.6363636363636,2.21718316956412,937.5,2.56673511293635,2.57 [0.73-5.67],503,537,3969
Chronic Arthritis,Hypertension,4.34372382747069,1.80584703649548e-42,3.583613666538,5.26505880517087,171,Positive,Significant,Significant after FDR correction,0,True,90,Hypertension Precedes Chronic Arthritis,52.6315789473684,4.30839002267574,1345.0,3.68240930869268,3.68 [1.25-7.44],569,1035,3969
Anaemia,Diabetes,4.34114561299602,1.50148065486681e-27,3.43274404436239,5.48993603650255,101,Positive,Significant,Significant after FDR correction,0,True,64,Diabetes Precedes Anaemia,63.3663366336634,2.54472159234064,1127.0,3.08555783709788,3.09 [1.19-7.33],578,547,3969
Mental Illness,Reflux Disorders,4.30429188493705,1.8924223392591e-42,3.55972577563029,5.20459434194886,170,Positive,Significant,Significant after FDR correction,0,True,96,Mental Illness Precedes Reflux Disorders,56.4705882352941,4.28319475938524,1019.0,2.78986995208761,2.79 [0.71-6.17],794,728,3969
Cardiac Arrhythmias,Diabetes,4.24729176593509,4.4841826407796e-22,3.27893479599909,5.50163039746676,80,Positive,Significant,Significant after FDR correction,0,True,42,Diabetes Precedes Cardiac Arrhythmias,52.5,2.01562106324011,1774.5,4.85831622176591,4.86 [1.42-8.63],453,547,3969
Cardiac Arrhythmias,Chronic Arthritis,4.18811470192664,3.31288317619924e-22,3.24238736252053,5.40968823134656,82,Positive,Significant,Significant after FDR correction,0,True,50,Chronic Arthritis Precedes Cardiac Arrhythmias,60.9756097560976,2.06601158982111,968.0,2.65023956194387,2.65 [1.20-5.25],453,569,3969
Chronic Arthritis,Diabetes,4.17821563088512,1.41536570183437e-25,3.29290865660566,5.301539665594,97,Positive,Significant,Significant after FDR correction,0,True,59,Chronic Arthritis Precedes Diabetes,60.8247422680412,2.44394053917863,1409.0,3.85763175906913,3.86 [1.38-6.86],569,547,3969
Chronic Kidney Disease,Insomnia,4.10536602700782,4.2653046870766205e-20,3.14508863804481,5.35884108696774,75,Positive,Significant,Significant after FDR correction,0,True,56,Insomnia Precedes Chronic Kidney Disease,74.6666666666667,1.8896447467876,1316.0,3.60301163586585,3.60 [1.16-8.78],611,390,3969
Hypertension,Mental Illness,4.02509565849383,9.50036740989212e-49,3.39169523900688,4.77678385537075,220,Positive,Significant,Significant after FDR correction,0,True,113,Mental Illness Precedes Hypertension,51.3636363636364,5.54295792391031,1717.0,4.70088980150582,4.70 [1.61-8.12],1035,794,3969
Chronic Airway Diseases,Hearing Loss,4.01580774853801,7.980012837502321e-19,3.06207416348008,5.26659741476992,71,Positive,Significant,Significant after FDR correction,0,True,35,Hearing Loss Precedes Chronic Airway Diseases,49.2957746478873,1.7888636936256,1377.0,3.7700205338809,3.77 [1.25-8.05],451,503,3969
Chronic Arthritis,Chronic Kidney Disease,3.95548055151904,2.35937143664652e-25,3.13851657257927,4.98510236655767,103,Positive,Significant,Significant after FDR correction,0,True,61,Chronic Arthritis Precedes Chronic Kidney Disease,59.2233009708738,2.59511211892164,825.0,2.25872689938398,2.26 [0.75-5.93],569,611,3969
Hypertension,Insomnia,3.86509427344365,9.17844818055175e-26,3.07219917142774,4.86262540578198,112,Positive,Significant,Significant after FDR correction,0,True,55,Insomnia Precedes Hypertension,49.1071428571429,2.82186948853616,1265.0,3.46338124572211,3.46 [1.06-6.50],1035,390,3969
Anaemia,Chronic Arthritis,3.83897256849105,4.16674786908244e-23,3.02662729380595,4.86935091472536,96,Positive,Significant,Significant after FDR correction,0,True,60,Chronic Arthritis Precedes Anaemia,62.5,2.41874527588813,1168.0,3.19780971937029,3.20 [0.88-5.84],578,569,3969
Cardiac Arrhythmias,Reflux Disorders,3.75040201049181,5.64171732686861e-22,2.94741691712059,4.77214986403824,94,Positive,Significant,Significant after FDR correction,0,True,62,Reflux Disorders Precedes Cardiac Arrhythmias,65.9574468085106,2.36835474930713,1367.0,3.74264202600958,3.74 [0.91-7.62],453,728,3969
Chronic Kidney Disease,Reflux Disorders,3.72949464842162,1.65773499928129e-27,3.010397862305,4.62036281209541,123,Positive,Significant,Significant after FDR correction,0,True,78,Reflux Disorders Precedes Chronic Kidney Disease,63.4146341463415,3.09901738473167,1316.0,3.60301163586585,3.60 [0.79-7.60],611,728,3969
Chronic Airway Diseases,Mental Illness,3.59829539904269,1.27616960319288e-21,2.83988058636555,4.55925148435278,98,Positive,Significant,Significant after FDR correction,0,True,53,Mental Illness Precedes Chronic Airway Diseases,54.0816326530612,2.46913580246914,1668.5,4.56810403832991,4.57 [1.03-8.06],451,794,3969
Anaemia,Mental Illness,3.59324937357724,2.97397477790331e-26,2.90077489549451,4.45103171596229,123,Positive,Significant,Significant after FDR correction,0,True,81,Mental Illness Precedes Anaemia,65.8536585365854,3.09901738473167,1344.0,3.67967145790554,3.68 [1.26-7.87],578,794,3969
Diabetes,Reflux Disorders,3.52437417654809,7.75948632036101e-23,2.81040803988622,4.41971883087194,107,Positive,Significant,Significant after FDR correction,0,True,64,Reflux Disorders Precedes Diabetes,59.8130841121495,2.69589317208365,1537.0,4.20807665982204,4.21 [1.52-7.16],547,728,3969
Cardiac Arrhythmias,Mental Illness,3.4738388191953,2.2710355858012e-20,2.73773757645715,4.40785714654382,96,Positive,Significant,Significant after FDR correction,0,True,44,Mental Illness Precedes Cardiac Arrhythmias,45.8333333333333,2.41874527588813,808.0,2.21218343600274,2.21 [0.31-5.47],453,794,3969
Chronic Kidney Disease,Mental Illness,3.45704673127971,1.4529444513066e-25,2.79896167347663,4.2698591465195,126,Positive,Significant,Significant after FDR correction,0,True,82,Mental Illness Precedes Chronic Kidney Disease,65.0793650793651,3.17460317460317,717.0,1.96303901437372,1.96 [0.55-5.42],611,794,3969
Chronic Arthritis,Reflux Disorders,3.43759218936574,1.67777898990283e-22,2.7474041311242,4.30116557171841,109,Positive,Significant,Significant after FDR correction,0,True,62,Reflux Disorders Precedes Chronic Arthritis,56.8807339449541,2.74628369866465,1465.0,4.01095140314853,4.01 [1.97-7.62],569,728,3969
Hearing Loss,Reflux Disorders,3.4205538163678,2.97779049497331e-20,2.70216596556246,4.32992960453963,97,Positive,Significant,Significant after FDR correction,0,True,49,Reflux Disorders Precedes Hearing Loss,50.5154639175258,2.44394053917863,1493.0,4.08761122518823,4.09 [1.49-6.52],503,728,3969
Chronic Kidney Disease,Epilepsy,3.41316799175563,1.1004084495308e-18,2.67177288535188,4.36029417163985,88,Positive,Significant,Significant after FDR correction,0,True,53,Epilepsy Precedes Chronic Kidney Disease,60.2272727272727,2.21718316956412,1400.0,3.83299110198494,3.83 [0.98-7.43],611,537,3969
Chronic Arthritis,Mental Illness,3.41130834891047,1.3242976526213702e-23,2.74367013720989,4.24140806634295,117,Positive,Significant,Significant after FDR correction,0,True,57,Mental Illness Precedes Chronic Arthritis,48.7179487179487,2.94784580498866,1018.0,2.78713210130048,2.79 [0.74-6.83],569,794,3969
Cancer,Hypertension,3.36471032160687,5.2726438417133e-16,2.5753528410664,4.39600949733937,78,Positive,Significant,Significant after FDR correction,0,True,48,Hypertension Precedes Cancer,61.5384615384615,1.96523053665911,1057.5,2.8952772073922,2.90 [0.31-6.44],294,1035,3969
Chronic Pneumonia,Hypertension,3.22625496059734,4.8323006841417e-15,2.46866345081589,4.21633862944699,77,Positive,Significant,Significant after FDR correction,0,True,43,Hypertension Precedes Chronic Pneumonia,55.8441558441558,1.94003527336861,1218.0,3.3347022587269,3.33 [0.45-7.72],299,1035,3969
Coronary Heart Disease,Mental Illness,3.21942528735632,7.502974618432341e-15,2.46675074637814,4.20176185051835,74,Positive,Significant,Significant after FDR correction,0,True,45,Mental Illness Precedes Coronary Heart Disease,60.8108108108108,1.8644494834971,1579.0,4.32306639288159,4.32 [0.91-9.08],364,794,3969
Hearing Loss,Mental Illness,3.16272526533229,1.9686343281433297e-18,2.50548396922021,3.99237481734294,99,Positive,Significant,Significant after FDR correction,0,True,49,Mental Illness Precedes Hearing Loss,49.4949494949495,2.49433106575964,1896.0,5.19096509240246,5.19 [2.03-8.57],503,794,3969
Diabetes,Mental Illness,3.16242556570068,8.91184978486311e-20,2.52508709148386,3.96062990948966,107,Positive,Significant,Significant after FDR correction,0,True,63,Mental Illness Precedes Diabetes,58.8785046728972,2.69589317208365,1648.0,4.5119780971937,4.51 [1.00-7.77],547,794,3969
Hearing Loss,Hypertension,3.14391387584753,6.241377610552139e-22,2.5383829384245,3.89389414383689,124,Positive,Significant,Significant after FDR correction,0,True,69,Hearing Loss Precedes Hypertension,55.6451612903226,3.12421264802217,1727.0,4.72826830937714,4.73 [2.01-7.65],503,1035,3969
Anaemia,Epilepsy,3.05046428881368,2.67453367429443e-14,2.35785141188102,3.94653044311389,77,Positive,Significant,Significant after FDR correction,0,True,42,Epilepsy Precedes Anaemia,54.5454545454545,1.94003527336861,1413.0,3.86858316221766,3.87 [1.42-6.54],578,537,3969
Anaemia,Hearing Loss,2.96870662575791,5.32241660822819e-13,2.27431768077872,3.87510465415775,71,Positive,Significant,Significant after FDR correction,0,True,39,Hearing Loss Precedes Anaemia,54.9295774647887,1.7888636936256,1461.0,4.0,4.00 [1.40-6.73],578,503,3969
Chronic Kidney Disease,Hearing Loss,2.88005100717559,1.2747947506752199e-12,2.21423271366462,3.74608041546145,73,Positive,Significant,Significant after FDR correction,0,True,55,Hearing Loss Precedes Chronic Kidney Disease,75.3424657534247,1.8392542202066,1642.0,4.49555099247091,4.50 [1.96-8.56],611,503,3969
Epilepsy,Mental Illness,2.86580656141178,4.71151513920143e-16,2.27206644416217,3.61470381666558,98,Positive,Significant,Significant after FDR correction,0,True,48,Epilepsy Precedes Mental Illness,48.9795918367347,2.46913580246914,1094.0,2.99520876112252,3.00 [0.36-6.58],537,794,3969
Dysphagia,Mental Illness,2.85800042977659,3.93033340520393e-15,2.25099100701287,3.62869795177127,92,Positive,Significant,Significant after FDR correction,0,True,56,Mental Illness Precedes Dysphagia,60.8695652173913,2.31796422272613,1206.0,3.30184804928131,3.30 [1.19-6.76],503,794,3969
