ConditionA,ConditionB,OddsRatio,PValue,OddsRatio_CI_Low,OddsRatio_CI_High,PairFrequency,Direction,Significance,Interpretation,AdjustedPValue,FDRSignificance,DirectionalFrequency,Precedence,DirectionalPercentage,Percentage,MedianDurationDays,MedianDurationYears,MedianDurationYearsWithIQR,ConditionA_Count,ConditionB_Count,TotalPatientsInGroup
Chronic Kidney Disease,Hypertension,10.6725375688142,6.16761532681182e-99,8.68820974508403,13.1100723278692,214,Positive,Significant,Significant after FDR correction,0,True,158,HYPERTENSION precedes CKD,73.8317757009346,11.0195674562307,1516.5,4.15195071868583,4.15 [1.49-7.67],590,500,1942
Chronic Kidney Disease,Coronary Heart Disease,10.3155502223477,1.32465949836193e-63,8.02939764781103,13.2526225574078,133,Positive,Significant,Significant after FDR correction,0,True,64,CORONARY HEART DISEASE precedes CKD,48.1203007518797,6.8486096807415,715.0,1.95756331279945,1.96 [0.04-5.99],590,288,1942
Chronic Kidney Disease,Inflammatory Bowel Disease,10.0837977034786,5.60511864234433e-42,7.4230011283666,13.6983646326152,86,Positive,Significant,Significant after FDR correction,0,True,60,IBD precedes CKD,69.7674418604651,4.42842430484037,871.5,2.38603696098563,2.39 [0.67-7.41],590,180,1942
Dementia,Mental Illness,10.0301611067857,5.691181515447149e-72,7.97509744946262,12.6147840155677,152,Positive,Significant,Significant after FDR correction,0,True,92,MENTAL ILLNESS precedes DEMENTIA,60.5263157894737,7.826982492276,528.5,1.44695414099932,1.45 [0.25-4.66],447,435,1942
Chronic Arthritis,Coronary Heart Disease,9.67865874956339,1.2477990429049599e-56,7.50105767616465,12.4884301967396,120,Positive,Significant,Significant after FDR correction,0,True,63,CHRONIC ARTHRITIS precedes CORONARY HEART DISEASE,52.5,6.17919670442842,1379.5,3.77686516084873,3.78 [0.73-7.26],529,288,1942
Chronic Arthritis,Hypertension,9.65018914318139,3.66751934148701e-84,7.81140136291822,11.921823776878,189,Positive,Significant,Significant after FDR correction,0,True,107,HYPERTENSION precedes CHRONIC ARTHRITIS,56.6137566137566,9.73223480947477,1364.0,3.73442847364819,3.73 [1.48-7.83],529,500,1942
Dementia,Stroke,9.58378053293856,2.70380284866851e-53,7.40342662665671,12.4062618481045,111,Positive,Significant,Significant after FDR correction,0,True,67,STROKE precedes DEMENTIA,60.3603603603604,5.71575695159629,778.0,2.13004791238877,2.13 [0.66-4.22],447,304,1942
Coronary Heart Disease,Diabetes,9.49931097841066,3.74505494372119e-48,7.26153712200234,12.4266952779374,99,Positive,Significant,Significant after FDR correction,0,True,38,DIABETES precedes CORONARY HEART DISEASE,38.3838383838384,5.09783728115345,431.0,1.18001368925394,1.18 [0.00-3.59],288,410,1942
Cardiac Arrhythmias,Chronic Arthritis,9.46991869918699,3.5107753187417497e-72,7.56417135615164,11.8558075890598,160,Positive,Significant,Significant after FDR correction,0,True,102,CHRONIC ARTHRITIS precedes CARDIAC ARRHYTHMIAS,63.75,8.2389289392379,1446.0,3.95893223819302,3.96 [1.14-8.07],410,529,1942
Chronic Airway Diseases,Heart Failure,9.44117647058824,2.53474988926997e-51,7.27783551132657,12.2475718240768,107,Positive,Significant,Significant after FDR correction,0,True,65,CHRONIC AIRWAY DISEASES precedes HEART FAILURE,60.7476635514019,5.50978372811535,717.0,1.96303901437372,1.96 [0.40-4.71],419,311,1942
Diabetes,Heart Failure,9.39702371478593,2.18790844361331e-50,7.2329457453964,12.208588008897,105,Positive,Significant,Significant after FDR correction,0,True,44,DIABETES precedes HEART FAILURE,41.9047619047619,5.40679711637487,373.0,1.02121834360027,1.02 [0.08-3.93],410,311,1942
Anaemia,Heart Failure,9.29468599033816,1.2216956702503298e-49,7.15004061326669,12.0826149572762,104,Positive,Significant,Significant after FDR correction,0,True,56,ANAEMIA precedes HEART FAILURE,53.8461538461538,5.35530381050463,797.5,2.18343600273785,2.18 [0.38-6.04],408,311,1942
Chronic Kidney Disease,Reflux Disorders,9.25083868387727,8.93095480121709e-68,7.34449372841489,11.6519966548586,153,Positive,Significant,Significant after FDR correction,0,True,98,REFLUX DISORDERS precedes CKD,64.0522875816993,7.87847579814624,1192.0,3.26351813826146,3.26 [1.18-6.87],590,359,1942
Coronary Heart Disease,Stroke,9.20199594964194,2.9779309225238e-38,6.8667696042113,12.3313776838086,77,Positive,Significant,Significant after FDR correction,0,True,77,No clear precedence,100.0,3.96498455200824,1079.0,2.95414099931554,2.95 [0.29-5.91],288,304,1942
Chronic Airway Diseases,Coronary Heart Disease,9.04640104935235,2.9738468074323803e-46,6.91653855705811,11.8321283501284,98,Positive,Significant,Significant after FDR correction,0,True,44,CHRONIC AIRWAY DISEASES precedes CORONARY HEART DISEASE,44.8979591836735,5.04634397528321,429.5,1.17590691307324,1.18 [0.07-3.49],419,288,1942
Chronic Arthritis,Reflux Disorders,8.89405594405594,2.31499991590337e-61,7.02508017114843,11.2602602687544,139,Positive,Significant,Significant after FDR correction,0,True,70,CHRONIC ARTHRITIS precedes REFLUX DISORDERS,50.3597122302158,7.15756951596292,1355.0,3.709787816564,3.71 [1.24-7.85],529,359,1942
Heart Failure,Hypertension,8.73146079513337,2.73414202767259e-52,6.78846261031053,11.2305851845096,117,Positive,Significant,Significant after FDR correction,0,True,78,HYPERTENSION precedes HEART FAILURE,66.6666666666667,6.02471678681771,1360.0,3.72347707049966,3.72 [1.47-7.71],311,500,1942
Anaemia,Reflux Disorders,8.69649993110101,3.78233238673787e-51,6.76177056048533,11.184808827085,113,Positive,Significant,Significant after FDR correction,0,True,65,REFLUX DISORDERS precedes ANAEMIA,57.5221238938053,5.81874356333677,1088.0,2.97878165639973,2.98 [0.43-7.00],408,359,1942
Chronic Arthritis,Thyroid Disorders,8.60154989241528,9.30795937068025e-79,6.98886532035129,10.5863623292701,191,Positive,Significant,Significant after FDR correction,0,True,114,CHRONIC ARTHRITIS precedes THYROID DISORDERS,59.6858638743455,9.83522142121524,984.0,2.69404517453799,2.69 [1.21-6.54],529,543,1942
Heart Failure,Reflux Disorders,8.56717522582382,1.00957688640068e-41,6.51451182697641,11.2666141837423,90,Positive,Significant,Significant after FDR correction,0,True,69,REFLUX DISORDERS precedes HEART FAILURE,76.6666666666667,4.63439752832132,1210.0,3.31279945242984,3.31 [0.98-7.34],311,359,1942
Coronary Heart Disease,Reflux Disorders,8.49882352941176,4.38404939267887e-39,6.41403445546081,11.2612431201687,84,Positive,Significant,Significant after FDR correction,0,True,48,REFLUX DISORDERS precedes CORONARY HEART DISEASE,57.1428571428571,4.3254376930999,992.0,2.71594798083504,2.72 [0.76-6.04],288,359,1942
Dementia,Dysphagia,8.48314208811446,6.17761995369233e-39,6.38071209184438,11.2783179449705,85,Positive,Significant,Significant after FDR correction,0,True,40,DYSPHAGIA precedes DEMENTIA,47.0588235294118,4.37693099897013,580.0,1.58795345653662,1.59 [0.14-4.18],447,241,1942
Chronic Arthritis,Heart Failure,8.47783509773551,3.1438404965225702e-52,6.6063416583356,10.8794990724872,120,Positive,Significant,Significant after FDR correction,0,True,81,CHRONIC ARTHRITIS precedes HEART FAILURE,67.5,6.17919670442842,1211.0,3.31553730321697,3.32 [0.74-7.10],529,311,1942
Anaemia,Chronic Arthritis,8.47593313157515,5.82163302761289e-64,6.75873810908669,10.629416511101,151,Positive,Significant,Significant after FDR correction,0,True,82,CHRONIC ARTHRITIS precedes ANAEMIA,54.3046357615894,7.77548918640577,1648.0,4.5119780971937,4.51 [0.75-7.75],408,529,1942
Anaemia,Cardiac Arrhythmias,8.46523195114744,2.20369305872336e-54,6.64477366343927,10.7844383595809,124,Positive,Significant,Significant after FDR correction,0,True,68,ANAEMIA precedes CARDIAC ARRHYTHMIAS,54.8387096774194,6.38516992790937,744.0,2.03696098562628,2.04 [0.49-4.83],408,410,1942
Cancer,Osteoporosis,8.44164474595044,9.053379118460759e-40,6.39239280334416,11.1478390344774,86,Positive,Significant,Significant after FDR correction,0,True,30,CANCER precedes OSTEOPOROSIS,34.8837209302326,4.42842430484037,182.0,0.498288843258042,0.50 [0.00-3.50],319,334,1942
Cardiac Arrhythmias,Reflux Disorders,8.3543397345992,4.80802278776897e-49,6.49169937063839,10.7514209171149,111,Positive,Significant,Significant after FDR correction,0,True,71,REFLUX DISORDERS precedes CARDIAC ARRHYTHMIAS,63.963963963964,5.71575695159629,1426.0,3.90417522245038,3.90 [1.21-7.90],410,359,1942
Anaemia,Diabetes,8.33684210526316,1.85621377830045e-53,6.54186457839783,10.6243312522239,123,Positive,Significant,Significant after FDR correction,0,True,65,DIABETES precedes ANAEMIA,52.8455284552846,6.33367662203913,639.0,1.74948665297741,1.75 [0.29-5.72],408,410,1942
Cardiac Arrhythmias,Stroke,8.26212640862322,6.621535967607289e-43,6.32476029712399,10.7929359509656,96,Positive,Significant,Significant after FDR correction,0,True,47,CARDIAC ARRHYTHMIAS precedes STROKE,48.9583333333333,4.94335736354274,515.0,1.40999315537303,1.41 [0.26-5.81],410,304,1942
Anaemia,Coronary Heart Disease,8.20980319941072,9.01422621484164e-41,6.24859795601321,10.7865586884483,91,Positive,Significant,Significant after FDR correction,0,True,47,ANAEMIA precedes CORONARY HEART DISEASE,51.6483516483517,4.68589083419155,872.0,2.38740588637919,2.39 [0.66-6.34],408,288,1942
Chronic Arthritis,Inflammatory Bowel Disease,8.17213712618527,4.2121242118713006e-32,5.97544308450651,11.17638043986,72,Positive,Significant,Significant after FDR correction,0,True,35,IBD precedes CHRONIC ARTHRITIS,48.6111111111111,3.70751802265705,1080.0,2.95687885010267,2.96 [1.03-5.72],529,180,1942
Cardiac Arrhythmias,Hypertension,8.09724422579838,5.44832075888828e-59,6.43466868441649,10.1893923786646,142,Positive,Significant,Significant after FDR correction,0,True,105,HYPERTENSION precedes CARDIAC ARRHYTHMIAS,73.943661971831,7.31204943357363,1716.5,4.69952087611225,4.70 [1.47-9.22],410,500,1942
Hypertension,Stroke,8.06172349986783,5.223411437961251e-47,6.24420947440361,10.4082648179462,110,Positive,Significant,Significant after FDR correction,0,True,82,HYPERTENSION precedes STROKE,74.5454545454545,5.66426364572606,1398.0,3.82751540041068,3.83 [1.70-7.41],500,304,1942
Anaemia,Stroke,8.01295116772824,2.80097111261425e-41,6.12628340972146,10.480642523738,94,Positive,Significant,Significant after FDR correction,0,True,46,STROKE precedes ANAEMIA,48.936170212766,4.84037075180227,918.5,2.51471594798083,2.51 [0.83-5.50],408,304,1942
Diabetes,Stroke,7.95940325497288,4.38900369425468e-41,6.08621855738349,10.4091069977133,94,Positive,Significant,Significant after FDR correction,0,True,47,DIABETES precedes STROKE,50.0,4.84037075180227,709.0,1.94113620807666,1.94 [0.24-4.61],410,304,1942
Chronic Kidney Disease,Mental Illness,7.92691683426837,2.8477968380696e-66,6.37998231440102,9.84893176828606,167,Positive,Significant,Significant after FDR correction,0,True,87,MENTAL ILLNESS precedes CKD,52.0958083832335,8.59938208032956,813.0,2.2258726899384,2.23 [0.51-6.38],590,435,1942
Heart Failure,Stroke,7.90883354303901,7.5055432675259e-34,5.90928986401653,10.5849686596663,75,Positive,Significant,Significant after FDR correction,0,True,34,HEART FAILURE precedes STROKE,45.3333333333333,3.86199794026777,859.0,2.35181382614648,2.35 [0.25-4.92],311,304,1942
Chronic Kidney Disease,Stroke,7.83053911900066,9.31349420392696e-50,6.11062437314985,10.0345462508919,122,Positive,Significant,Significant after FDR correction,0,True,65,STROKE precedes CKD,53.2786885245902,6.2821833161689,871.0,2.38466803559206,2.38 [0.75-4.80],590,304,1942
Chronic Arthritis,Hearing Loss,7.7149332661798,8.65813413830117e-46,5.98210431667944,9.94970868957471,111,Positive,Significant,Significant after FDR correction,0,True,55,CHRONIC ARTHRITIS precedes HEARING LOSS,49.5495495495495,5.71575695159629,1306.0,3.57563312799452,3.58 [1.37-6.72],529,301,1942
Anaemia,Chronic Airway Diseases,7.70903010033445,1.3908044209347799e-49,6.04791933628147,9.82637859128628,120,Positive,Significant,Significant after FDR correction,0,True,62,ANAEMIA precedes CHRONIC AIRWAY DISEASES,51.6666666666667,6.17919670442842,1173.5,3.21286789869952,3.21 [0.65-6.51],408,419,1942
Chronic Arthritis,Osteoporosis,7.65369833379361,3.54736981497056e-49,5.99215304079278,9.77596830153138,121,Positive,Significant,Significant after FDR correction,0,True,57,CHRONIC ARTHRITIS precedes OSTEOPOROSIS,47.1074380165289,6.23069001029866,1008.0,2.75975359342916,2.76 [0.39-5.17],529,334,1942
Anaemia,Dementia,7.55684436933477,1.4327687367543499e-50,5.95271402006038,9.59325387208293,125,Positive,Significant,Significant after FDR correction,0,True,84,ANAEMIA precedes DEMENTIA,67.2,6.43666323377961,884.0,2.42026009582478,2.42 [0.88-6.27],408,447,1942
Chronic Kidney Disease,Osteoporosis,7.54315856777494,2.29142849485982e-51,5.93567712515254,9.58597308763391,130,Positive,Significant,Significant after FDR correction,0,True,72,OSTEOPOROSIS precedes CKD,55.3846153846154,6.69412976313079,1232.0,3.37303216974675,3.37 [0.78-6.86],590,334,1942
Anaemia,Hearing Loss,7.53822766699454,4.13033678125598e-38,5.74653621956304,9.88854401821954,90,Positive,Significant,Significant after FDR correction,0,True,44,HEARING LOSS precedes ANAEMIA,48.8888888888889,4.63439752832132,1311.0,3.58932238193018,3.59 [1.20-8.09],408,301,1942
Cardiac Arrhythmias,Chronic Airway Diseases,7.53666666666667,1.91029319265367e-48,5.91161174774435,9.60843622149538,119,Positive,Significant,Significant after FDR correction,0,True,63,CHRONIC AIRWAY DISEASES precedes CARDIAC ARRHYTHMIAS,52.9411764705882,6.12770339855819,651.0,1.782340862423,1.78 [0.61-5.32],410,419,1942
Dementia,Epilepsy,7.47365612911831,1.0922712537794e-37,5.68892683362958,9.81829043856264,90,Positive,Significant,Significant after FDR correction,0,True,50,EPILEPSY precedes DEMENTIA,55.5555555555556,4.63439752832132,422.0,1.15537303216975,1.16 [0.10-3.57],447,279,1942
Chronic Kidney Disease,Hearing Loss,7.4672131147541,9.067062330102751e-47,5.81677726732071,9.58593893811566,118,Positive,Significant,Significant after FDR correction,0,True,69,HEARING LOSS precedes CKD,58.4745762711864,6.07621009268795,1276.0,3.49349760438056,3.49 [1.01-7.99],590,301,1942
Diabetes,Hypertension,7.45207347397128,1.21555303613159e-53,5.91294132756395,9.39184003105024,136,Positive,Significant,Significant after FDR correction,0,True,80,HYPERTENSION precedes DIABETES,58.8235294117647,7.00308959835222,1196.0,3.27446954140999,3.27 [1.07-6.13],410,500,1942
Chronic Arthritis,Chronic Kidney Disease,7.44026548672566,9.76937934836984e-71,6.06338218191421,9.12981383197004,190,Positive,Significant,Significant after FDR correction,0,True,111,CHRONIC ARTHRITIS precedes CKD,58.421052631579,9.78372811534501,1144.5,3.13347022587269,3.13 [0.83-7.39],529,590,1942
Hypertension,Thyroid Disorders,7.41100008124137,2.10010545434864e-64,5.99088709975227,9.16774449086691,170,Positive,Significant,Significant after FDR correction,0,True,103,HYPERTENSION precedes THYROID DISORDERS,60.5882352941176,8.75386199794027,1509.0,4.13141683778234,4.13 [1.45-6.96],500,543,1942
Chronic Kidney Disease,Dementia,7.38886107634543,1.94543016645093e-62,5.95343527198268,9.17038071488944,165,Positive,Significant,Significant after FDR correction,0,True,90,CKD precedes DEMENTIA,54.5454545454545,8.49639546858908,788.0,2.1574264202601,2.16 [0.29-4.45],590,447,1942
Coronary Heart Disease,Hypertension,7.38164893617021,1.1067103835253198e-40,5.67485732499817,9.60178166538845,100,Positive,Significant,Significant after FDR correction,0,True,62,HYPERTENSION precedes CORONARY HEART DISEASE,62.0,5.14933058702369,1260.0,3.44969199178645,3.45 [1.18-6.99],288,500,1942
Hypertension,Reflux Disorders,7.37922662468681,3.91383847756353e-48,5.79121463854976,9.40268820568579,121,Positive,Significant,Significant after FDR correction,0,True,75,HYPERTENSION precedes REFLUX DISORDERS,61.9834710743802,6.23069001029866,1392.0,3.81108829568789,3.81 [1.69-7.05],500,359,1942
Heart Failure,Thyroid Disorders,7.29708715057552,1.13925036198168e-44,5.67698219305812,9.37953988092583,113,Positive,Significant,Significant after FDR correction,0,True,67,THYROID DISORDERS precedes HEART FAILURE,59.2920353982301,5.81874356333677,839.0,2.29705681040383,2.30 [0.75-5.00],311,543,1942
Anaemia,Thyroid Disorders,7.22873267957925,2.97158106650559e-54,5.75753133730202,9.07586482669558,142,Positive,Significant,Significant after FDR correction,0,True,71,THYROID DISORDERS precedes ANAEMIA,50.0,7.31204943357363,1065.0,2.91581108829569,2.92 [1.09-5.81],408,543,1942
Cardiac Arrhythmias,Diabetes,7.19916453615778,3.44277093940915e-45,5.63112099123153,9.20384593038855,114,Positive,Significant,Significant after FDR correction,0,True,48,DIABETES precedes CARDIAC ARRHYTHMIAS,42.1052631578947,5.870236869207,522.5,1.43052703627652,1.43 [0.19-5.30],410,410,1942
Chronic Airway Diseases,Diabetes,7.19579713073348,7.70725129596675e-46,5.63759334849847,9.184680970376,116,Positive,Significant,Significant after FDR correction,0,True,47,CHRONIC AIRWAY DISEASES precedes DIABETES,40.5172413793103,5.97322348094748,690.5,1.89048596851472,1.89 [0.01-4.35],419,410,1942
Cardiac Arrhythmias,Thyroid Disorders,7.17214426620017,6.0464476177218e-54,5.7138102096289,9.00268848421006,142,Positive,Significant,Significant after FDR correction,0,True,81,THYROID DISORDERS precedes CARDIAC ARRHYTHMIAS,57.0422535211268,7.31204943357363,1028.5,2.81587953456537,2.82 [0.85-5.65],410,543,1942
Chronic Kidney Disease,Thyroid Disorders,7.12634560906516,1.61839623158584e-68,5.81392634156014,8.73502668529068,190,Positive,Significant,Significant after FDR correction,0,True,102,THYROID DISORDERS precedes CKD,53.6842105263158,9.78372811534501,946.0,2.59000684462697,2.59 [0.73-5.51],590,543,1942
Anaemia,Cancer,7.05452709059715,1.05005466078309e-36,5.39563879989578,9.22344032238229,91,Positive,Significant,Significant after FDR correction,0,True,52,CANCER precedes ANAEMIA,57.1428571428571,4.68589083419155,817.0,2.23682409308693,2.24 [0.33-6.14],408,319,1942
Dementia,Hearing Loss,7.05280312907432,3.05741241658653e-37,5.39988784024188,9.21167873280352,93,Positive,Significant,Significant after FDR correction,0,True,66,HEARING LOSS precedes DEMENTIA,70.9677419354839,4.78887744593203,859.0,2.35181382614648,2.35 [0.68-6.64],447,301,1942
Coronary Heart Disease,Thyroid Disorders,6.97337837837838,7.95113913334645e-40,5.37799314771998,9.04203569479278,103,Positive,Significant,Significant after FDR correction,0,True,54,THYROID DISORDERS precedes CORONARY HEART DISEASE,52.4271844660194,5.3038105046344,1031.0,2.8227241615332,2.82 [1.37-6.28],288,543,1942
Dementia,Osteoporosis,6.96443722245652,1.15119440400123e-39,5.38329358276612,9.00998340139109,101,Positive,Significant,Significant after FDR correction,0,True,71,OSTEOPOROSIS precedes DEMENTIA,70.2970297029703,5.20082389289392,819.0,2.24229979466119,2.24 [0.62-5.20],447,334,1942
Chronic Airway Diseases,Chronic Arthritis,6.91181318681319,1.32280096664418e-51,5.50351644601473,8.68047947126582,139,Positive,Significant,Significant after FDR correction,0,True,67,CHRONIC ARTHRITIS precedes CHRONIC AIRWAY DISEASES,48.2014388489209,7.15756951596292,1205.0,3.29911019849418,3.30 [0.99-7.23],419,529,1942
Cancer,Cardiac Arrhythmias,6.87772925764192,1.1193777226088e-35,5.25764979418431,8.99701608002639,90,Positive,Significant,Significant after FDR correction,0,True,45,CANCER precedes CARDIAC ARRHYTHMIAS,50.0,4.63439752832132,1337.5,3.66187542778919,3.66 [1.18-6.52],319,410,1942
Chronic Airway Diseases,Reflux Disorders,6.84708205353225,2.93956745964977e-39,5.29897555050082,8.84747102548387,101,Positive,Significant,Significant after FDR correction,0,True,62,REFLUX DISORDERS precedes CHRONIC AIRWAY DISEASES,61.3861386138614,5.20082389289392,922.0,2.5242984257358,2.52 [0.75-6.09],419,359,1942
Chronic Arthritis,Menopausal And Perimenopausal,6.82470472599539,6.21803052544936e-30,5.07494093025247,9.17776093104333,76,Positive,Significant,Significant after FDR correction,0,True,48,MENOPAUSAL AND PERIMENOPAUSAL precedes CHRONIC ARTHRITIS,63.1578947368421,3.913491246138,1496.0,4.09582477754962,4.10 [2.05-7.98],529,213,1942
Cardiac Arrhythmias,Dysphagia,6.81217750257998,2.01873246366422e-28,5.05231872968416,9.1850425140454,70,Positive,Significant,Significant after FDR correction,0,True,70,No clear precedence,100.0,3.60453141091658,706.5,1.93429158110883,1.93 [0.41-6.06],410,241,1942
Anaemia,Hypertension,6.80462568472307,6.005129039672649e-48,5.38665616710875,8.59585785183791,129,Positive,Significant,Significant after FDR correction,0,True,93,HYPERTENSION precedes ANAEMIA,72.0930232558139,6.64263645726056,1669.0,4.56947296372348,4.57 [1.49-8.97],408,500,1942
Cardiac Arrhythmias,Hearing Loss,6.79636752136752,1.19647899147457e-33,5.16367033897334,8.94530604265552,85,Positive,Significant,Significant after FDR correction,0,True,43,HEARING LOSS precedes CARDIAC ARRHYTHMIAS,50.5882352941176,4.37693099897013,1559.0,4.26830937713895,4.27 [1.10-6.75],410,301,1942
Cancer,Chronic Kidney Disease,6.77611940298508,1.13483628977395e-43,5.29846008246324,8.66587526354726,118,Positive,Significant,Significant after FDR correction,0,True,65,CANCER precedes CKD,55.0847457627119,6.07621009268795,577.0,1.57973990417522,1.58 [0.41-5.54],319,590,1942
Anaemia,Mental Illness,6.75943899317406,2.1088022212156598e-43,5.29941126749597,8.62171535594575,115,Positive,Significant,Significant after FDR correction,0,True,53,ANAEMIA precedes MENTAL ILLNESS,46.0869565217391,5.92173017507724,1270.0,3.47707049965777,3.48 [0.61-6.50],408,435,1942
Chronic Airway Diseases,Osteoporosis,6.72461538461538,2.1045528623786597e-36,5.16741239056412,8.75108248638721,94,Positive,Significant,Significant after FDR correction,0,True,46,CHRONIC AIRWAY DISEASES precedes OSTEOPOROSIS,48.936170212766,4.84037075180227,1005.5,2.75290896646133,2.75 [0.48-5.54],419,334,1942
Mental Illness,Reflux Disorders,6.72350338855422,2.42886061449164e-39,5.214868872873,8.6685780444169,103,Positive,Significant,Significant after FDR correction,0,True,62,REFLUX DISORDERS precedes MENTAL ILLNESS,60.1941747572816,5.3038105046344,1307.0,3.57837097878166,3.58 [0.86-7.49],435,359,1942
Diabetes,Reflux Disorders,6.7008547008547,1.17796690403223e-37,5.17349184571783,8.67913878305078,98,Positive,Significant,Significant after FDR correction,0,True,60,REFLUX DISORDERS precedes DIABETES,61.2244897959184,5.04634397528321,1340.0,3.66872005475702,3.67 [1.20-7.33],410,359,1942
Coronary Heart Disease,Mental Illness,6.70070372976777,3.37206074180719e-33,5.08824796986723,8.82414354410782,85,Positive,Significant,Significant after FDR correction,0,True,44,MENTAL ILLNESS precedes CORONARY HEART DISEASE,51.7647058823529,4.37693099897013,947.0,2.5927446954141,2.59 [0.22-6.12],288,435,1942
Reflux Disorders,Thyroid Disorders,6.6748649488359,8.17553629374966e-45,5.25146257003584,8.48407876682135,122,Positive,Significant,Significant after FDR correction,0,True,70,REFLUX DISORDERS precedes THYROID DISORDERS,57.3770491803279,6.2821833161689,1046.0,2.86379192334018,2.86 [1.26-6.34],359,543,1942
Hearing Loss,Hypertension,6.64813861725854,4.55060339727043e-37,5.11847702277325,8.63494099468232,98,Positive,Significant,Significant after FDR correction,0,True,52,HYPERTENSION precedes HEARING LOSS,53.0612244897959,5.04634397528321,1270.5,3.47843942505133,3.48 [1.10-8.09],301,500,1942
Chronic Airway Diseases,Chronic Kidney Disease,6.64493830458667,1.5030493133045201e-52,5.31901366396784,8.30138966757692,148,Positive,Significant,Significant after FDR correction,0,True,87,CHRONIC AIRWAY DISEASES precedes CKD,58.7837837837838,7.62100926879506,1085.0,2.97056810403833,2.97 [0.49-6.80],419,590,1942
Dysphagia,Mental Illness,6.61352633380605,2.11212409604691e-28,4.92128377954494,8.88766682176385,72,Positive,Significant,Significant after FDR correction,0,True,42,MENTAL ILLNESS precedes DYSPHAGIA,58.3333333333333,3.70751802265705,1068.0,2.92402464065708,2.92 [0.50-6.61],241,435,1942
Cardiac Arrhythmias,Osteoporosis,6.55760671852626,9.41880000149375e-35,5.02604236326626,8.55587811777117,91,Positive,Significant,Significant after FDR correction,0,True,45,OSTEOPOROSIS precedes CARDIAC ARRHYTHMIAS,49.4505494505495,4.68589083419155,1008.0,2.75975359342916,2.76 [0.94-6.79],410,334,1942
